timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
2021-04-27T11:04:06Z,35-44,Computing or Tech,Mobile developer,NA,144600,,USD,,NA,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T11:04:09Z,35-44,Computing or Tech,Product Design Director,NA,200850,,USD,,NA,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:04:09Z,25-34,Engineering or Manufacturing,Engineering specialist,NA,120000,,CAD,,NA,Canada,NA,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:04:10Z,25-34,Retail,"Manager, Total Rewards",NA,97500,,CAD,,NA,Canada,NA,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:04:10Z,35-44,Education (Higher Education),Research and Development Engineer 3,Process Engineer in a University Cleanroom,96000,,USD,,NA,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
2021-04-27T11:04:11Z,25-34,Education (Primary/Secondary),Science Teacher (Public High School),NA,53000,,USD,,NA,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
2021-04-27T11:04:15Z,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",NA,95000,,USD,,NA,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:04:19Z,35-44,Computing or Tech,Managed Services Sales Coordinator,Primarily proposal writing,72000,,USD,,NA,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:04:21Z,35-44,Media & Digital,Editor,NA,52000,,CAD,,NA,Canada,NA,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
2021-04-27T11:04:22Z,35-44,Engineering or Manufacturing,Water Resources Engineer,NA,106000,,USD,,NA,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:24Z,25-34,Government and Public Administration,Program Officer,NA,115000,,USD,,NA,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-27T11:04:26Z,25-34,Business or Consulting,Account Supervisor,Program Manager for Government contractor,100500,,USD,,NA,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
2021-04-27T11:04:27Z,25-34,Law,Legal Secretary,NA,33200,,USD,,NA,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
2021-04-27T11:04:27Z,35-44,Government and Public Administration,Policy Lead,Middle manager policy role in public sector.,52000,,GBP,,NA,United Kingdom,NA,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:27Z,25-34,Education (Higher Education),Coordinator,NA,52000,,USD,,NA,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:04:29Z,25-34,Government and Public Administration,Senior Advisor,NA,79000,,CAD,,NA,Canada,NA,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:04:29Z,65 or over,Property or Construction,Safety Director,NA,104000,,USD,,Extra money comes from overtime,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
2021-04-27T11:04:31Z,25-34,Education (Primary/Secondary),Secondary School Educator,NA,75000,,CAD,,NA,Canada,NA,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
2021-04-27T11:04:31Z,18-24,Biotechnology,Downstream Process Development Research Associate I,NA,52000,,USD,,NA,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:04:32Z,25-34,Education (Higher Education),Research Programmer,Software engineering without the job title,70000,,USD,,"Technically 37.5 hours, but ends up being pretty similar",USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
2021-04-27T11:04:34Z,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",This is NOT a non-profit development/fundraising role.,84000,,USD,,NA,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:04:34Z,35-44,Health care,AR Manager,NA,53000,,USD,,NA,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:36Z,25-34,Computing or Tech,Technical specialist,NA,34000,,USD,,NA,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:04:37Z,25-34,Nonprofits,Programming Coordinator,NA,38000,,USD,,NA,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:04:38Z,25-34,Government and Public Administration,City Research Scientist II,Public Health Research and Data Analysis,87000,,USD,,NA,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
2021-04-27T11:04:39Z,35-44,Aerospace contracting,Project engineer,Cost/schedule analyst,122000,,USD,,NA,United States,NA,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:39Z,25-34,Insurance,Pricing Analyst,NA,45000,,GBP,,NA,UK,NA,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:04:40Z,25-34,Engineering or Manufacturing,Marketing Coordinator,NA,45000,,USD,,NA,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
2021-04-27T11:04:41Z,35-44,Computing or Tech,Tech Writer,NA,88000,,USD,,NA,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
2021-04-27T11:04:43Z,35-44,Nonprofits,Supervisory Archivist,at a historical society,71000,,USD,,NA,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:04:43Z,45-54,Education (Higher Education),Program Manager,NA,71000,,USD,,NA,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
2021-04-27T11:04:45Z,35-44,Education (Primary/Secondary),High School Teacher at an independent school,NA,75000,,USD,,NA,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:48Z,35-44,Education (Higher Education),Manager of Market Research and Data,"My group is responsible for data gathering, analysis and reporting to state and federal stakeholders as well as strategic initiatives and grant applications. We also manage the organization's CRM system.",80000,,USD,,NA,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:48Z,35-44,Computing or Tech,Senior Business Analyst,NA,125000,,USD,,NA,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:04:50Z,35-44,Education (Higher Education),Special Collections Cataloger,Tenure-track faculty,65000,,USD,,NA,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:04:51Z,45-54,Education (Primary/Secondary),Teacher,NA,36000,,GBP,,NA,Scotland,NA,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:04:54Z,25-34,Nonprofits,Graphic Designer / Webmaster,NA,55000,,USD,,NA,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:04:54Z,25-34,Art & Design,Senior UX Designer,NA,90000,,USD,,NA,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:04:58Z,35-44,Engineering or Manufacturing,Senior Engineer,NA,105000,,USD,,NA,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:05:01Z,35-44,Nonprofits,Office Administrator,NA,60000,,CAD,,NA,Canada,NA,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
2021-04-27T11:05:01Z,35-44,Education (Higher Education),Digital Archivist,NA,65000,,USD,,NA,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:05:01Z,25-34,Business or Consulting,Associate Program Manager,Associate Program Manager of a utility sponsored energy efficiency program,85000,,USD,,Bonuses are variable based on company's performance and the amount referenced is the full amount I'm possible to receive,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T11:05:01Z,25-34,Sales,CSR,NA,39520,,USD,,NA,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Some college,Woman,White
2021-04-27T11:05:04Z,45-54,Computing or Tech,Director of Engineering,NA,115000,,CAD,,NA,Canada,NA,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
2021-04-27T11:05:05Z,25-34,Energy,Fuel Efficiency Program Analyst,NA,76000,,USD,,NA,United States,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T11:05:05Z,55-64,Business or Consulting,Senior Vice President of Marketing,NA,180000,,USD,,NA,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:05:06Z,25-34,"Accounting, Banking & Finance",Accounting Manager,NA,90000,,USD,,NA,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:05:07Z,25-34,Government and Public Administration,Technical Assistant,Data Entry and Processing for local government,19300,,GBP,,NA,United Kingdom,NA,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
2021-04-27T11:05:07Z,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,NA,65000,,USD,,NA,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:05:07Z,45-54,Computing or Tech,senior web application developer,NA,98166,,USD,,NA,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
2021-04-27T11:05:07Z,25-34,Education (Primary/Secondary),Director of Development,NA,63500,,USD,,NA,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
2021-04-27T11:05:07Z,55-64,Environmental regulation,Quality Assurance Lead,NA,58,,USD,,NA,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:05:08Z,25-34,Nonprofits,Program & Administrative Assistant,NA,47700,,USD,,NA,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:05:08Z,55-64,Computing or Tech,Chief Engineer,NA,87000,,USD,,NA,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
2021-04-27T11:05:11Z,35-44,Media & Digital,Production Co-ordinator,Ecomm Studio,48000,,CAD,,NA,Canada,NA,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:05:13Z,25-34,Education (Higher Education),Administrative Support Assistant,NA,39635,,USD,,NA,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
2021-04-27T11:05:14Z,25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,53000,,USD,,NA,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
2021-04-27T11:05:16Z,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,NA,47255,,USD,,NA,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
2021-04-27T11:05:17Z,35-44,Property or Construction,Senior Project Manager,NA,196000,,USD,,NA,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T11:05:17Z,45-54,Health care,Customer Service Representative,Pharma call center,34361,,USD,,NA,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T11:05:17Z,45-54,Engineering or Manufacturing,Senior Device Engineer,"develop delivery systems for pharmaceuticals (syringes, autoinjectors..)",150000,,USD,,NA,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:05:17Z,25-34,Hospitality & Events,Graphic Designer,Solo in-house graphic designer & illustrator,75000,,USD,,NA,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:05:18Z,35-44,Education (Higher Education),Graduate Student,NA,20000,,USD,,Doesn't include tuition remission,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:05:20Z,25-34,Computing or Tech,Senior Financial Analyst,NA,107220,,USD,,NA,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
2021-04-27T11:05:21Z,35-44,Government and Public Administration,Case Manager,Worker's Comp,78000,,CAD,,NA,Canada,NA,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
2021-04-27T11:05:22Z,45-54,Education (Higher Education),Professor,NA,95000,,USD,,"I am, like most professors, a ""9 month"" employee, which means that our contract year has three months ""off"" - which is when we have to do most of our research.",USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
2021-04-27T11:05:23Z,45-54,Sales,Office Manager,NA,42000,,USD,,NA,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:05:24Z,25-34,"Accounting, Banking & Finance",Finance Manager,Ad Sales,100000,,USD,,NA,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:05:24Z,25-34,Computing or Tech,Software engineer,NA,50000,,GBP,,NA,United Kingdom,NA,Nottingham,5-7 years,2 - 4 years,High School,Man,White
2021-04-27T11:05:25Z,35-44,Education (Higher Education),Medical Education Director,NA,119000,,USD,,NA,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:05:26Z,45-54,"Accounting, Banking & Finance",Finance acountant,NA,66000,,GBP,,NA,UK,NA,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:05:27Z,35-44,Transport or Logistics,Program manager,NA,60000,,EUR,,NA,The Netherlands,NA,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T11:05:27Z,25-34,Education (Higher Education),Associate Director of Donor Relations,NA,75000,,USD,,NA,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:05:28Z,35-44,Education (Higher Education),Assistant Professor of Law,NA,145000,,USD,,NA,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
2021-04-27T11:05:32Z,25-34,"Accounting, Banking & Finance",investment advisor,NA,95000,,CAD,,NA,Canada,NA,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:05:33Z,25-34,"Marketing, Advertising & PR",Content Writer,NA,48000,,USD,,NA,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:05:33Z,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,NA,75000,,USD,,NA,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:05:33Z,35-44,Media & Digital,Digital Marketing Specialist,NA,42000,,USD,,NA,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:05:35Z,35-44,Nonprofits,Archivist,NA,54000,,USD,,NA,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:05:36Z,35-44,Education (Higher Education),Assistant Professor,NA,92000,,CAD,,NA,Canada,NA,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
2021-04-27T11:05:42Z,45-54,Government and Public Administration,Head of Public Sector Data Sharing,NA,50870,,GBP,,NA,United Kingdom,NA,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
2021-04-27T11:05:42Z,55-64,Medical Devices,QC Supervisor,NA,60000,,USD,,NA,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
2021-04-27T11:05:43Z,55-64,Nonprofits,Content Development Manager,NA,101500,,USD,,NA,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:05:44Z,25-34,Academic research (Psychology),Clinical Research Assistant II,NA,36883,,USD,,NA,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T11:05:44Z,25-34,Media & Digital,news editor,NA,85000,,USD,,NA,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T11:05:45Z,25-34,Education (Higher Education),Senior Administrative Assistant,NA,62000,,USD,,NA,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:05:45Z,35-44,Computing or Tech,Product Manager,NA,130000,,USD,,NA,United States,NA,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T11:05:45Z,55-64,Education (Higher Education),career services professional,NA,55000,,USD,,NA,United States,NA,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
2021-04-27T11:05:47Z,25-34,Government and Public Administration,Project Coordinator,NA,59015,,USD,,NA,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T11:05:47Z,25-34,Business or Consulting,"Associate Manager, Education",Beauty industry education for sales teams,71000,,USD,,NA,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T11:05:48Z,45-54,Social Work,Director,NA,53000,,USD,,NA,USA,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T11:05:48Z,25-34,public library,Senior Librarian,NA,63000,,USD,,NA,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T11:05:49Z,35-44,Engineering or Manufacturing,Project Estimator,NA,95000,,USD,,"Bonus average was used; it varied depending on profitability.  Also, have 4 weeks PTO.",United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T11:05:50Z,35-44,Surveying,Accounts manager,NA,85000,,AUD/NZD,,NA,Australia,NA,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
2021-04-27T11:05:50Z,35-44,Nonprofits,Customer Advocate,Customer support,35000,,USD,,NA,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
2021-04-27T11:05:51Z,18-24,Hospitality & Events,Customer Service Specialist,"I don't want to get too specific, but I specialize in a certain part of our customer service team that's a little more technical.",33280,,USD,,NA,United States,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
2021-04-27T11:05:52Z,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,NA,56000,,USD,,NA,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
2021-04-27T11:05:52Z,35-44,Education (Higher Education),Associate Director,NA,85000,,USD,,NA,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
